2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 28, ack: 0 , fin: 0 
2015/11/6 22:5:1  20000 , 20001 , Sequence : 0, ACK : 29, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 29, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 30, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 30, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 31, ack: 0 , fin: 0 
2015/11/6 22:5:2  20000 , 20001 , Sequence : 0, ACK : 31, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 32, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 32, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 33, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 33, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 34, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 34, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 35, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 35, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 36, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 37, ack: 0 , fin: 0 
2015/11/6 22:5:3  20000 , 20001 , Sequence : 0, ACK : 37, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 38, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 38, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 39, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 39, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 40, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 40, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 41, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 41, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 42, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 42, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 43, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 43, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 44, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 44, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 45, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 45, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 46, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 46, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 47, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 47, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 48, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 49, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 49, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 50, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 51, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 52, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 52, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 53, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 53, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 54, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 55, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 55, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 56, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 56, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 57, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 57, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 58, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 58, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 59, ack: 0 , fin: 0 
2015/11/6 22:5:4  20000 , 20001 , Sequence : 0, ACK : 59, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 60, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 60, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 61, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 61, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 62, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 62, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 63, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 63, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 64, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 65, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 66, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 67, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 68, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 68, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 69, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 69, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 70, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 70, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 71, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 71, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 72, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 72, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 73, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 73, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 74, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 75, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 76, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 76, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 77, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 78, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 78, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 79, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 79, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 80, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 81, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 81, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 82, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 82, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 83, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 83, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 84, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 84, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 85, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 85, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 86, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 86, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 87, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 87, ack: 0 , fin: 0 
2015/11/6 22:5:5  20000 , 20001 , Sequence : 0, ACK : 88, ack: 0 , fin: 0 
